column_name,label
total1,total
col_section,category
mrp_col,price
department,category
clientname,customer
sold_date,date
client1,customer
Goods,product
pro,profit
old_date,date
buyer_col,customer
expense,expense
item name,product
group1,category
cli,customer
qty_col,amount
profit,profit
cat,category
item_code,product
Stock_Sold,amount
product_id,product
col_net_profit,profit
ear,profit
profit_col,profit
party_name1,customer
col_billing_date,date
cat,category
nettotal,total
col_customer_id,customer
final_amoun,total
Overhead,expense
Nos,amount
profit_amt_col,profit
product_name,product
net_total_col,total
mode_of_paymen,payment_mode
paymentmethod,payment_mode
mode_of_payment_col,payment_mode
product_i,product
profit_amt1,profit
typ,category
BILL_DATE,date
sp,price
net_profit1,profit
expense_amount,expense
ieces,amount
Sold_Date,date
CLIENT,customer
PRODUCT_NAME,product
net_,total
Client,customer
expense,expense
profit,profit
price,price
col_sku,product
payment_method,payment_mode
PRODUCT_TYPE,category
created_on1,date
date_of_sale_col,date
expense,expense
group,category
sold_date_col,date
pay_type,payment_mode
BILLING_DATE,date
Qty,amount
dept,category
grand_total1,total
NET_TOTAL,total
col_item,product
expenseamount,expense
expen,expense
tota,total
sale_date1,date
items_sold1,amount
PRODUCT,product
ear,profit
unit_count,amount
roduct_id,product
margin,profit
number of pieces sold,amount
price,price
goods_col,product
item_col,product
items_sol,amount
unit price,price
oods,product
TRANSACTION_DATE,date
clien,customer
gain,profit
paid_vi,payment_mode
ate_of_sale,date
col_overhead,expense
par,customer
TOTAL,total
Article,product
margin_col,profit
item_code1,product
lient_name,customer
Customer_Name,customer
sp,price
col_cost_per_item,price
client_nam,customer
dep,category
mode_of_paymen,payment_mode
total_sale,total
sale,total
paymenttype,payment_mode
pay_mode_col,payment_mode
Selling_Price,price
qnty_col,amount
unit_count,amount
pay_type,payment_mode
BILL_TOTAL,total
item code,product
unit count,amount
entry,date
dept,category
payment mode,payment_mode
EXPENSE,expense
col_expenditure,expense
profit,profit
mode_of_payment_col,payment_mode
Mrp,price
payment_type_col,payment_mode
INVOICE_TOTAL,total
Date,date
arty_name,customer
Total_Amount,total
mrp,price
solddate,date
col_billing_date,date
Cost_Spent,expense
total,total
elling_price,price
Cost_Spent,expense
rticle,product
product_name,product
col_cost_spent,expense
inv date,date
mrp,price
Grand_Total,total
Quantity,amount
customer,customer
net_profit,profit
selling_pric,price
grand total,total
overhead,expense
product_type,category
expense_amount,expense
ntry_date,date
mrp,price
category,category
inv_date1,date
sp,price
Pay_Mode,payment_mode
PRODUCT_NAME,product
expenditure,expense
ntry_date,date
expenditur,expense
item_nam,product
expenseamt,expense
cp_col,price
lient,customer
cost_per_item1,price
buye,customer
paymode,payment_mode
articl,product
inv_date,date
order,date
no of pieces,amount
item name,product
total_,total
cat,category
item name,product
Buyer,customer
costspent,expense
clas,category
TOTAL_AMOUNT,total
solddate,date
qty,amount
payment_mode1,payment_mode
col_net_profit,profit
categor,category
hop_expense,expense
overhead_col,expense
customer_name1,customer
nit_price,price
PAID_VIA,payment_mode
mrp,price
txntype,payment_mode
Total,total
bill_,total
UNIT_COUNT,amount
col_net_profit,profit
Group,category
items_sold,amount
col_customer,customer
Total_Sales,total
party,customer
Nos,amount
net total,total
expense,expense
mrp,price
ITEM_NAME,product
sold_date,date
col_payment_mode,payment_mode
item_code_col,product
col_units,amount
inv_dat,date
Pay_Mode,payment_mode
NOS,amount
transaction_date_col,date
amount,amount
type,category
cp,price
dept,category
ustomer,customer
gai,profit
CP,price
total,total
ARTICLE,product
buyer,customer
cost_spent_col,expense
group,category
col_item_code,product
Type,category
ay_mode,payment_mode
total_sales_col,total
TXN_TYPE,payment_mode
roduct_name,product
category,category
col_article,product
customer_name_col,customer
paid_via1,payment_mode
pay_,payment_mode
evenue,total
customer_i,customer
exp,expense
client_nam,customer
COUNT,amount
party_name_col,customer
col_items,amount
cat,category
Txn_Type,payment_mode
item_nam,product
noofpieces,amount
Group,category
custom,customer
Volume,amount
customer_name_col,customer
CP,price
product_id,product
Expense,expense
pri,price
payment_type,payment_mode
costperitem,price
amount,amount
rice,price
col_list_price,price
PARTY_NAME,customer
sold_date1,date
unit_coun,amount
price1,price
mode_of_payment,payment_mode
party,customer
ist_price,price
party,customer
TOTAL,total
goods,product
ost_per_item,price
item_name1,product
col_items,amount
col_list_price,price
list_price_col,price
Sku,product
department,category
dept_col,category
Items_Sold,amount
pric,price
Profit_Amount,profit
shop expense,expense
category1,category
profit amt,profit
party_col,customer
client_name,customer
date,date
sp,price
Buyer,customer
col_profit_amount,profit
net_,total
col_quantity,amount
Payment_Method,payment_mode
profit_col,profit
Type,category
list price,price
produc,product
TOTAL_AMOUNT,total
sales,total
net_profit1,profit
col_customer_name,customer
sales_col,total
unitprice,price
profit,profit
profit,profit
ay_type,payment_mode
product1,product
sku,product
Payment_Type,payment_mode
items_sol,amount
cost_spent,expense
pay_type_col,payment_mode
pay_,payment_mode
PRICE,price
article_col,product
earning,profit
FINAL_AMOUNT,total
clien,customer
transaction_date,date
expenditure1,expense
invoice_total,total
profit,profit
sku_col,product
lass,category
group,category
COST_PER_ITEM,price
cost_p,price
profitamount,profit
shop_expense1,expense
col_net_profit,profit
mrp1,price
selling price,price
rate_col,price
col_date_of_sale,date
col_paid_via,payment_mode
Shop_Expense,expense
ost_spent,expense
col_customer_name,customer
category1,category
invoicetotal,total
sp,price
sku,product
cust,customer
article_col,product
customer_id,customer
expenditure_col,expense
shopexpense,expense
product_type1,category
ategory,category
total sales,total
rat,price
grand_total,total
col_earning,profit
PAYMENT_MODE,payment_mode
inv_dat,date
inv_,date
group_col,category
mar,profit
qnty,amount
Goods,product
cost_per_item_col,price
Product,product
ite,product
PROFIT_AMT,profit
gain,profit
col_price,price
COST,price
no_of_,amount
cost1,price
margin,profit
Sales,total
col_nos,amount
profit,profit
ITEM_NAME,product
lass,category
qnty1,amount
exp,expense
ay_type,payment_mode
number of pieces sold,amount
bill_total,total
Sp,price
RATE,price
shop_expense_col,expense
cost_col,price
col_sku,product
item,product
depar,category
party_nam,customer
pay_type1,payment_mode
payment_metho,payment_mode
group1,category
group,category
mar,profit
Invoice_Total,total
col_product,product
clas,category
paid_vi,payment_mode
uyer,customer
typ,category
party,customer
price,price
invoic,total
col_type,category
Pay_Type,payment_mode
col_total_amount,total
date_o,date
SOLD_DATE,date
count,amount
section1,category
custom,customer
QUANTITY,amount
cp,price
profit,profit
payment,payment_mode
Pay_Type,payment_mode
gai,profit
expen,expense
profit,profit
creat,date
created on,date
DEPT,category
margin,profit
profit_amt1,profit
col_payment_type,payment_mode
lient_name,customer
list_,price
profi,profit
rev,total
rate,price
ear,profit
Cp,price
EXPENSE_AMT,expense
arty,customer
ransaction_date,date
transactiondate,date
col_total_sales,total
col_expense_amount,expense
Item,product
PAID_VIA,payment_mode
custom,customer
net total,total
PAID_VIA,payment_mode
margin,profit
profit_amoun,profit
item1,product
units_col,amount
col_grand_total,total
item_name,product
class1,category
item_nam,product
col_order_date,date
et_profit,profit
invdate,date
overhead,expense
qnty1,amount
sale_dat,date
overhea,expense
col_department,category
unit_price,price
sku,product
customer_name1,customer
profit_amt1,profit
col_cat,category
Overhead,expense
type,category
expenditure,expense
net_total,total
sku1,product
col_profit_amount,profit
expense_amount1,expense
profit_amt_col,profit
customer name,customer
profit amt,profit
Mrp,price
total_sale,total
COST,price
item,amount
xpense_amount,expense
PAID_VIA,payment_mode
sale,date
billingdate,date
Selling_Price,price
elling_price,price
net profit,profit
Buyer,customer
itemname,product
group,category
payment method,payment_mode
ount,amount
item_cod,product
Cat,category
date,date
CLIENT_NAME,customer
expenseamt,expense
revenu,total
article_col,product
paymentmode,payment_mode
Pay_Type,payment_mode
col_article,product
uyer,customer
col_cost_spent,expense
price,price
Profit,profit
earnin,profit
units,amount
RATE,price
bill_date_col,date
Cost,price
goo,product
col_created_on,date
cost_per_item1,price
inv_,date
mode_of_payment,payment_mode
ntry_date,date
sku,product
items,amount
bill_date,date
party name,customer
Sku,product
ENTRY_DATE,date
Customer_Name,customer
rder_date,date
mode_of_payment_col,payment_mode
product_type,category
section,category
payment,payment_mode
REVENUE,total
col_pay_type,payment_mode
earning,profit
itemname,product
nv_date,date
BILLING_DATE,date
col_item_name,product
items1,amount
cp,price
cp,price
ill_total,total
article,product
good,product
NUMBER_OF_PIECES_SOLD,amount
entry_date,date
party_name_col,customer
cat_col,category
ieces,amount
Net_Profit,profit
Txn_Type,payment_mode
col_cat,category
col_customer_name,customer
net_profit1,profit
Product_Id,product
number of pieces sold,amount
count,amount
roduct_type,category
txn_date_col,date
Expenditure,expense
item1,product
GAIN,profit
final_amount,total
tems,amount
count,amount
col_cost_per_item,price
Customer_Name,customer
Goods,product
selling price,price
inv_,date
col_gain,profit
class,category
PAYMENT_METHOD,payment_mode
client_name,customer
expense_amoun,expense
shopexpense,expense
expense,expense
rate_col,price
net_p,profit
list_price_col,price
Items,amount
ayment_type,payment_mode
customer,customer
cost_per_item1,price
buy,customer
profit_am,profit
VOLUME,amount
Customer_Name,customer
expense_amount,expense
col_date_of_sale,date
inv_date,date
margin,profit
transaction date,date
buyer,customer
Revenue,total
rev,total
PAYMENT_TYPE,payment_mode
expenditure,expense
party_name,customer
rder_date,date
date,date
gain,profit
old_date,date
revenue,total
col_net_profit,profit
CUSTOMER,customer
bill total,total
ay_type,payment_mode
paid_vi,payment_mode
FINAL_AMOUNT,total
rofit,profit
depar,category
Type,category
created_on,date
oods,product
Group,category
inv_date,date
price_col,price
Group,category
qnty,amount
col_nos,amount
PCS,amount
cost_spent,expense
mrp,price
sold_date_col,date
paid_via,payment_mode
col_qnty,amount
exp,expense
entry_date,date
net_,total
col_count,amount
Item_Name,product
mrp,price
class,category
earning_col,profit
itemcode,product
final_,total
expense,expense
quantity1,amount
NET_TOTAL,total
exp,expense
itemcode,product
col_nos,amount
expense_amount,expense
customer_name,customer
sec,category
xpense_amount,expense
entry_date,date
group,category
col_payment_type,payment_mode
selling_price_col,price
rate_col,price
payment_typ,payment_mode
payment_method,payment_mode
qnty_col,amount
payment_mode_col,payment_mode
unitprice,price
col_customer_name,customer
pay_,payment_mode
cost spent,expense
product_id,product
shopexpense,expense
profit_amt,profit
arty_name,customer
cost spent,expense
revenue,total
roduct,product
gain,profit
